gobject-introspection-runtime 1.84.0-2
gperftools 2.17.2-1
gpgme 2.0.0-1
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
graphene 1.10.8-2
graphite 1:1.3.14-5
grep 3.12-2
grim 1.5.0-2
groff 1.23.0-7
grub 2:2.12.r359.g19c698d12-1
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsm 1.0.22-2
gssdp 1.6.4-1
gst-plugins-bad-libs 1.26.5-2
gst-plugins-base 1.26.5-2
gst-plugins-base-libs 1.26.5-2
gst-plugins-good 1.26.5-2
gstreamer 1.26.5-2
gtest 1.17.0-1
gtk-update-icon-cache 1:4.18.6-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.50-1
gtk4 1:4.18.6-1
gtkmm-4.0 4.18.0-2
gtksourceview4 4.8.4-2
guile 3.0.10-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 11.5.0-1
haskell-aeson 2.1.2.1-158
haskell-aeson-pretty 0.8.10-118
haskell-ansi-terminal 1.0.2-106
haskell-ansi-terminal-types 0.11.5-146
haskell-appar 0.1.8-15
haskell-asn1-encoding 0.9.6-306
haskell-asn1-parse 0.9.5-305
haskell-asn1-types 0.3.4-284
haskell-assoc 1.1.1-39
haskell-async 2.2.5-215
haskell-attoparsec 0.14.4-150
haskell-attoparsec-aeson 2.1.0.0-142
haskell-auto-update 0.1.6-424
haskell-base-compat 0.13.1-1
haskell-base-compat-batteries 0.13.1-33
haskell-base-orphans 0.9.3-34
haskell-base-unicode-symbols 0.2.4.2-15
haskell-base16-bytestring 1.0.2.0-155
haskell-base64-bytestring 1.2.1.0-220
haskell-basement 0.0.16-3
haskell-bifunctors 5.6.2-33
haskell-bitvec 1.1.5.0-11
haskell-blaze-builder 0.4.4.1-1
haskell-blaze-html 0.9.2.0-78
haskell-blaze-markup 0.8.3.0-88
haskell-boring 0.2.2-1
haskell-bsb-http-chunked 0.0.0.4-472
haskell-byteorder 1.0.4-26
haskell-call-stack 0.4.0-332
haskell-case-insensitive 1.2.1.0-322
haskell-cassava 0.5.4.1-13
haskell-cborg 0.2.10.0-54
haskell-cereal 0.5.8.3-3
haskell-citeproc 0.8.1.1-50
haskell-cmdargs 0.10.22-3
haskell-colour 2.3.6-356
haskell-commonmark 0.2.6-31
haskell-commonmark-extensions 0.2.5.5-22
haskell-commonmark-pandoc 0.2.2.3-12
haskell-comonad 5.0.9-96
haskell-conduit 1.3.6.1-101
haskell-conduit-extra 1.3.8-43
haskell-constraints 0.14.2-23
haskell-contravariant 1.5.5-5
haskell-cookie 0.4.6-5
haskell-crypton 1.0.3-12
haskell-crypton-connection 0.4.4-5
haskell-crypton-x509 1.7.7-39
haskell-crypton-x509-store 1.6.11-15
haskell-crypton-x509-system 1.6.7-110
haskell-crypton-x509-validation 1.6.14-26
haskell-data-default 0.7.1.2-54
haskell-data-default-class 0.1.2.2-1
haskell-data-default-instances-containers 0.1.0.3-3
haskell-data-default-instances-dlist 0.0.1.2-98
haskell-data-default-instances-old-locale 0.0.1.2-1
haskell-data-fix 0.3.4-90
haskell-dec 0.0.6-1
haskell-digest 0.0.2.0-1
haskell-distributive 0.6.2.1-347
haskell-djot 0.1.2.2-3
haskell-dlist 1.0-348
haskell-doclayout 0.4.0.1-109
haskell-doctemplates 0.11.0.1-43
haskell-easy-file 0.2.5-96
haskell-emojis 0.1.4.1-57
haskell-erf 2.0.0.0-26
haskell-fast-logger 3.2.4-10
haskell-file-embed 0.0.16.0-1
haskell-foldable1-classes-compat 0.1.2-6
haskell-generically 0.1.1-63
haskell-generics-sop 0.5.1.3-4
haskell-glob 0.10.2-165
haskell-gridtables 0.1.0.0-128
haskell-haddock-library 1.11.0-149
haskell-half 0.3.3-42
haskell-hashable 1.4.5.0-4
haskell-hourglass 0.2.12-321
haskell-hslua 2.3.0-168
haskell-hslua-aeson 2.3.1.1-17
haskell-hslua-classes 2.3.0-158
haskell-hslua-core 2.3.2-3
haskell-hslua-list 1.1.3-88
haskell-hslua-marshalling 2.3.1-110
haskell-hslua-module-doclayout 1.1.1.1-22
haskell-hslua-module-path 1.1.1-70
haskell-hslua-module-system 1.1.2-23
haskell-hslua-module-text 1.1.0.1-137
haskell-hslua-module-version 1.1.1-112
haskell-hslua-module-zip 1.1.3-14
haskell-hslua-objectorientation 2.3.1-18
haskell-hslua-packaging 2.3.1-120
haskell-hslua-repl 0.1.2-116
haskell-hslua-typing 0.1.1-112
haskell-http-api-data 0.6.1-13
haskell-http-client 0.7.19-27
haskell-http-client-tls 0.3.6.4-100
haskell-http-date 0.0.11-213
haskell-http-media 0.8.1.1-89
haskell-http-types 0.12.4-109
haskell-http2 4.2.1-26
haskell-hunit 1.6.2.0-375
haskell-indexed-traversable 0.1.4-151
haskell-indexed-traversable-instances 0.1.2-100
haskell-integer-conversion 0.1.1-29
haskell-integer-logarithms 1.0.4-92
haskell-iproute 1.7.15-59
haskell-ipynb 0.2-251
haskell-isocline 1.0.9-3
